R (pc),Velocity dispersion (km/s),Uncertainty (km/s)
30.405405405405418,6.111111111111111,1.0003045066991483
64.18918918918922,5.111111111111111,2.4451887941534736
81.0810810810811,6.444444444444445,1.2225943970767368
108.10810810810813,3.666666666666664,1.222594397076735
118.24324324324328,3.5555555555555554,0.8891595615103558
97.97297297297304,8.222222222222221,0.8876370280146162
131.75675675675677,7.111111111111111,1.222594397076735
145.27027027027026,5.111111111111111,1.2225943970767368
155.40540540540542,5.888888888888889,0.8891595615103558
165.54054054054058,6.777777777777777,1.0003045066991483
175.67567567567568,5.222222222222221,1.1114494518879408
185.81081081081084,4.777777777777777,1.2225943970767368
195.945945945946,5.555555555555555,0.887637028014618
209.45945945945948,6.444444444444445,1.2225943970767368
216.21621621621625,7.0,1.2241169305724728
226.3513513513514,7.333333333333332,1.221071863580999
236.48648648648657,7.666666666666666,1.1114494518879416
250.00000000000009,7.222222222222221,1.221071863580999
263.51351351351354,6.444444444444445,1.1114494518879408
280.4054054054055,3.8888888888888897,0.7780146163215598
304.0540540540541,6.333333333333332,1.2225943970767377
327.70270270270277,5.777777777777777,1.0003045066991483
361.4864864864865,4.444444444444443,0.8891595615103558
398.6486486486487,5.444444444444443,1.0003045066991483
445.945945945946,6.8888888888888875,1.1114494518879425
533.7837837837837,6.666666666666666,1.1114494518879425
861.4864864864865,7.0,1.222594397076735
